,Author,Work,Genre,File Name,word_count,sentence_count,sentence_length,fraction_sentence_relative,relative_clause_length,alius,antequam,atque_consonant,conjunction,cum_clause,demonstrative,dum,gerundive,idem,interrogative,ipse,iste,o_interjection,personal,preposition,priusquam,quidam,quin,quominus,reflexive,si,superlative,ut
93,Julius Caesar,De Bello Gallico,historiography,caesar.de_bello_gallico.part.8.txt,6478,247,26.22672064777328,0.6032388663967612,6.8063241106719365,2,0,1,465,37,144,3,84,49,0,35,0,0,89,438,0,5,3,1,63,36,28,41
94,Curtius Rufus,Historiae Alexandri Magni,historiography,curtius_rufus.historiae_alexandri_magni.txt,74943,4145,17.911942098914356,0.4658624849215922,4.7889908256880735,277,13,10,6088,187,1984,66,406,449,178,533,25,4,1162,4271,8,76,23,6,565,379,166,581
95,Florus,Epitomae De Tito Livio Bellorum Omnium Annorum DCC,historiography,florus.epitome_bellorum_omnium_annorum.txt,26484,1465,17.980204778156995,0.2962457337883959,5.661710037174721,50,0,76,2492,99,618,31,92,98,69,228,3,9,190,1709,2,54,6,1,161,138,97,239
96,Livy,Ab Urbe Condita (Books 1-10),historiography,livy.ab_urbe_condita.part.1.books_1-10.txt,159553,6995,22.75968548963545,0.4240171551107934,5.736854571293226,593,14,35,12572,559,3912,109,1582,915,455,683,53,1,2256,11070,72,136,72,19,1356,991,201,1389
97,Livy,Ab Urbe Condita (Books 21-30),historiography,livy.ab_urbe_condita.part.2.books_21-30.txt,153453,6035,25.34614747307373,0.459983429991715,5.692894025079911,564,13,25,13195,566,3815,114,1709,801,205,825,20,0,1834,11938,85,144,35,15,1139,818,174,1363
98,Livy,Ab Urbe Condita (Books 31-40),historiography,livy.ab_urbe_condita.part.3.books_31-40.txt,137210,5863,23.331400307010064,0.4470407641139348,5.491747445637936,511,8,11,11063,545,3865,90,1406,840,278,729,31,0,1825,10518,81,124,44,14,1091,813,148,1192
99,Livy,Ab Urbe Condita (Books 41-45),historiography,livy.ab_urbe_condita.part.4.books_41-45.txt,56384,2543,22.08218639402281,0.4659850570192685,5.369640787949015,224,5,5,4167,214,1540,29,581,304,99,275,4,0,716,4356,20,52,7,4,471,271,53,485
100,Nepos,Vitae,historiography,nepos.vitae.txt,28389,1415,20.062190812720846,0.5872791519434629,5.5528,39,0,14,2305,189,1601,12,173,193,6,106,5,1,421,1874,13,28,12,3,338,198,97,378
101,Sallust,Catilina,historiography,sallust.catilina.txt,10688,495,21.56767676767677,0.5070707070707071,5.741935483870968,88,1,97,967,1,382,11,66,39,23,41,3,1,199,685,4,7,4,4,77,66,6,28
102,Sallust,Historiae,historiography,sallust.histories.txt,4061,193,21.02072538860104,0.5129533678756477,5.827338129496403,18,0,5,457,1,94,3,22,12,30,8,3,1,129,238,1,1,5,0,10,47,0,14
103,Sallust,Jugurtha,historiography,sallust.jugurtha.txt,21287,941,22.597236981934117,0.5154091392136025,5.773006134969325,173,1,70,2132,5,628,12,96,106,22,83,0,1,403,1340,5,7,4,1,183,122,2,45
